154,tcphl,2015-04-28
221,tcphl,2015-04-29
91,tcphl,2015-04-30
166,tcphl,2015-05-01
195,tcphl,2015-05-02
79,tcphl,2015-05-03
84,tcphl,2015-05-04
299,tcphl,2015-05-05
132,tcphl,2015-05-06
59,tcphl,2015-05-07
74,tcphl,2015-05-08
160,tcphl,2015-05-09
121,tcphl,2015-05-10
126,tcphl,2015-05-11
243,tcphl,2015-05-12
252,tcphl,2015-05-13
51,tcphl,2015-05-14
48,tcphl,2015-05-15
127,tcphl,2015-05-16
412,tcphl,2015-05-17
91,tcphl,2015-05-18
148,tcphl,2015-05-19
187,tcphl,2015-05-20
145,tcphl,2015-05-21
99,tcphl,2015-05-22
122,tcphl,2015-05-23
57,tcphl,2015-05-24
166,tcphl,2015-05-25
231,tcphl,2015-05-26
215,tcphl,2015-05-27
176,tcphl,2015-05-28
139,tcphl,2015-05-29
211,tcphl,2015-05-30
190,tcphl,2015-05-31
235,tcphl,2015-06-01
255,tcphl,2015-06-02
267,tcphl,2015-06-03
138,tcphl,2015-06-04
59,tcphl,2015-06-05
85,tcphl,2015-06-06
33,tcphl,2015-06-07
55,tcphl,2015-06-08
70,tcphl,2015-06-09
42,tcphl,2015-06-10
43,tcphl,2015-06-11
19,tcphl,2015-06-12
42,tcphl,2015-06-13
55,tcphl,2015-06-14
90,tcphl,2015-06-15
28,tcphl,2015-06-16
21,tcphl,2015-06-17
26,tcphl,2015-06-18
41,tcphl,2015-06-19
41,tcphl,2015-06-20
36,tcphl,2015-06-21
61,tcphl,2015-06-22
26,tcphl,2015-06-23
34,tcphl,2015-06-24
20,tcphl,2015-06-25
80,tcphl,2015-06-26
68,tcphl,2015-06-27
22,tcphl,2015-06-28
41,tcphl,2015-06-29
42,tcphl,2015-06-30
83,tcphl,2015-07-01
48,tcphl,2015-07-02
55,tcphl,2015-07-03
24,tcphl,2015-07-04
49,tcphl,2015-07-05
44,tcphl,2015-07-06
29,tcphl,2015-07-07
41,tcphl,2015-07-08
47,tcphl,2015-07-09
29,tcphl,2015-07-10
35,tcphl,2015-07-11
26,tcphl,2015-07-12
32,tcphl,2015-07-13
28,tcphl,2015-07-14
24,tcphl,2015-07-15
85,tcphl,2015-07-16
20,tcphl,2015-07-17
6,tcphl,2015-07-18
25,tcphl,2015-07-19
19,tcphl,2015-07-20
41,tcphl,2015-07-21
51,tcphl,2015-07-22
81,tcphl,2015-07-23
58,tcphl,2015-07-24
88,tcphl,2015-07-25
33,tcphl,2015-07-26
48,tcphl,2015-07-27
37,tcphl,2015-07-28
62,tcphl,2015-07-29
56,tcphl,2015-07-30
48,tcphl,2015-07-31
47,tcphl,2015-08-01
90,tcphl,2015-08-02
54,tcphl,2015-08-03
90,tcphl,2015-08-04
57,tcphl,2015-08-05
27,tcphl,2015-08-06
27,tcphl,2015-08-07
61,tcphl,2015-08-08
76,tcphl,2015-08-09
18,tcphl,2015-08-10
21,tcphl,2015-08-11
25,tcphl,2015-08-12
83,tcphl,2015-08-13
37,tcphl,2015-08-14
50,tcphl,2015-08-15
67,tcphl,2015-08-16
20,tcphl,2015-08-17
19,tcphl,2015-08-18
41,tcphl,2015-08-19
30,tcphl,2015-08-20
10,tcphl,2015-08-21
58,tcphl,2015-08-22
65,tcphl,2015-08-23
11,tcphl,2015-08-24
42,tcphl,2015-08-25
43,tcphl,2015-08-26
17,tcphl,2015-08-27
17,tcphl,2015-09-01
261,tcphl,2015-09-02
350,tcphl,2015-09-03
250,tcphl,2015-09-04
162,tcphl,2015-09-05
84,tcphl,2015-09-06
108,tcphl,2015-09-07
75,tcphl,2015-09-08
78,tcphl,2015-09-09
225,tcphl,2015-09-10
50,tcphl,2015-09-11
31,tcphl,2015-09-12
29,tcphl,2015-09-13
35,tcphl,2015-09-14
46,tcphl,2015-09-15
67,tcphl,2015-09-16
320,tcphl,2015-09-17
61,tcphl,2015-09-18
96,tcphl,2015-09-19
33,tcphl,2015-09-20
29,tcphl,2015-09-21
61,tcphl,2015-09-22
77,tcphl,2015-09-23
59,tcphl,2015-09-24
15,tcphl,2015-09-25
58,tcphl,2015-09-26
9,tcphl,2015-09-27
27,tcphl,2015-09-28
34,tcphl,2015-09-29
31,tcphl,2015-09-30
38,tcphl,2015-10-01
75,tcphl,2015-10-02
12,tcphl,2015-10-03
64,tcphl,2015-10-04
23,tcphl,2015-10-05
41,tcphl,2015-10-06
64,tcphl,2015-10-07
50,tcphl,2015-10-08
29,tcphl,2015-10-09
24,tcphl,2015-10-10
24,tcphl,2015-10-11
21,tcphl,2015-10-12
21,tcphl,2015-10-13
46,tcphl,2015-10-14
76,tcphl,2015-10-15
43,tcphl,2015-10-16
24,tcphl,2015-10-17
30,tcphl,2015-10-18
11,tcphl,2015-10-19
13,tcphl,2015-10-20
24,tcphl,2015-10-21
20,tcphl,2015-10-22
19,tcphl,2015-10-23
7,tcphl,2015-10-24
25,tcphl,2015-10-25
16,tcphl,2015-10-26
21,tcphl,2015-10-27
21,tcphl,2015-10-28
19,tcphl,2015-10-29
7,tcphl,2015-10-30
12,tcphl,2015-10-31
6,tcphl,2015-11-01
10,tcphl,2015-11-02
16,tcphl,2015-11-03
5,tcphl,2015-11-04
38,tcphl,2015-11-05
60,tcphl,2015-11-06
28,tcphl,2015-11-07
36,tcphl,2015-11-08
26,tcphl,2015-11-09
45,tcphl,2015-11-10
63,tcphl,2015-11-11
57,tcphl,2015-11-12
61,tcphl,2015-11-13
38,tcphl,2015-11-14
46,tcphl,2015-11-15
42,tcphl,2015-11-16
28,tcphl,2015-11-17
39,tcphl,2015-11-18
32,tcphl,2015-11-19
40,tcphl,2015-11-20
34,tcphl,2015-11-21
42,tcphl,2015-11-22
83,tcphl,2015-11-23
33,tcphl,2015-11-24
69,tcphl,2015-11-25
67,tcphl,2015-11-26
46,tcphl,2015-11-27
30,tcphl,2015-11-28
35,tcphl,2015-11-29
44,tcphl,2015-11-30
52,tcphl,2015-12-01
69,tcphl,2015-12-02
39,tcphl,2015-12-03
28,tcphl,2015-12-04
39,tcphl,2015-12-05
27,tcphl,2015-12-06
39,tcphl,2015-12-07
41,tcphl,2015-12-08
53,tcphl,2015-12-09
85,tcphl,2015-12-10
49,tcphl,2015-12-11
52,tcphl,2015-12-12
20,tcphl,2015-12-13
42,tcphl,2015-12-14
50,tcphl,2015-12-15
54,tcphl,2015-12-16
29,tcphl,2015-12-17
50,tcphl,2015-12-18
7,tcphl,2015-12-19
19,tcphl,2015-12-20
29,tcphl,2015-12-21
22,tcphl,2015-12-22
31,tcphl,2015-12-23
48,tcphl,2015-12-24
31,tcphl,2015-12-25
41,tcphl,2015-12-26
26,tcphl,2015-12-27
47,tcphl,2015-12-28
78,tcphl,2015-12-29
51,tcphl,2015-12-30
11,tcphl,2015-12-31
137,tcphl,2016-01-01
33,tcphl,2016-01-02
21,tcphl,2016-01-03
35,tcphl,2016-01-04
63,tcphl,2016-01-05
30,tcphl,2016-01-06
64,tcphl,2016-01-07
54,tcphl,2016-01-08
49,tcphl,2016-01-09
33,tcphl,2016-01-10
48,tcphl,2016-01-11
82,tcphl,2016-01-12
70,tcphl,2016-01-13
78,tcphl,2016-01-14
30,tcphl,2016-01-15
81,tcphl,2016-01-16
49,tcphl,2016-01-17
55,tcphl,2016-01-18
34,tcphl,2016-01-19
52,tcphl,2016-01-20
57,tcphl,2016-01-21
41,tcphl,2016-01-22
50,tcphl,2016-01-23
66,tcphl,2016-01-24
1355,tcphl,2016-01-25
486,tcphl,2016-01-26
428,tcphl,2016-01-27
189,tcphl,2016-01-28
413,tcphl,2016-01-29
328,tcphl,2016-01-30
152,tcphl,2016-01-31
96,tcphl,2016-02-01
246,tcphl,2016-02-02
98,tcphl,2016-02-03
223,tcphl,2016-02-04
1134,tcphl,2016-02-05
584,tcphl,2016-02-06
315,tcphl,2016-02-07
206,tcphl,2016-02-08
165,tcphl,2016-02-09
104,tcphl,2016-02-10
144,tcphl,2016-02-11
78,tcphl,2016-02-12
383,tcphl,2016-02-13
1045,tcphl,2016-02-14
223,tcphl,2016-02-15
521,tcphl,2016-02-16
423,tcphl,2016-02-17
340,tcphl,2016-02-18
263,tcphl,2016-02-19
1016,tcphl,2016-02-20
1139,tcphl,2016-02-21
529,tcphl,2016-02-22
306,tcphl,2016-02-23
312,tcphl,2016-02-24
347,tcphl,2016-02-25
