87,dnsbpf,2015-04-28
114,dnsbpf,2015-04-29
47,dnsbpf,2015-04-30
104,dnsbpf,2015-05-01
30,dnsbpf,2015-05-02
63,dnsbpf,2015-05-03
82,dnsbpf,2015-05-04
49,dnsbpf,2015-05-05
169,dnsbpf,2015-05-06
98,dnsbpf,2015-05-07
94,dnsbpf,2015-05-08
55,dnsbpf,2015-05-09
56,dnsbpf,2015-05-10
74,dnsbpf,2015-05-11
22,dnsbpf,2015-05-12
6,dnsbpf,2015-05-13
3,dnsbpf,2015-05-14
9,dnsbpf,2015-05-15
894,dnsbpf,2015-05-16
63,dnsbpf,2015-05-17
1116,dnsbpf,2015-05-18
223,dnsbpf,2015-05-19
946,dnsbpf,2015-05-20
2215,dnsbpf,2015-05-21
22,dnsbpf,2015-05-22
22,dnsbpf,2015-05-23
45,dnsbpf,2015-05-24
11,dnsbpf,2015-05-26
25,dnsbpf,2015-05-28
31,dnsbpf,2015-05-29
84,dnsbpf,2015-05-30
66,dnsbpf,2015-05-31
66,dnsbpf,2015-06-01
80,dnsbpf,2015-06-02
8,dnsbpf,2015-06-03
29,dnsbpf,2015-06-04
4,dnsbpf,2015-06-05
2,dnsbpf,2015-06-06
60,dnsbpf,2015-06-07
59,dnsbpf,2015-06-08
24,dnsbpf,2015-06-09
103,dnsbpf,2015-06-10
50,dnsbpf,2015-06-11
30,dnsbpf,2015-06-12
20,dnsbpf,2015-06-13
2,dnsbpf,2015-06-15
7,dnsbpf,2015-06-16
37,dnsbpf,2015-06-17
25,dnsbpf,2015-06-18
6,dnsbpf,2015-06-19
27,dnsbpf,2015-06-20
60,dnsbpf,2015-06-21
16,dnsbpf,2015-06-22
43,dnsbpf,2015-06-23
31,dnsbpf,2015-06-24
43,dnsbpf,2015-06-25
40,dnsbpf,2015-06-26
41,dnsbpf,2015-06-28
47,dnsbpf,2015-06-29
11,dnsbpf,2015-06-30
18,dnsbpf,2015-07-01
44,dnsbpf,2015-07-02
22,dnsbpf,2015-07-03
